model,property,algorithm,seed,simulations,time,robustness,falsified,input,control points,exploration ratio,budget,failed_explore_choice,failed_uniform_choice,failed_prefix_choice,failed_suffix_choice,failed_explore_forced,failed_uniform_forced,failed_prefix_forced,failed_suffix_forced,success_explore_choice,success_uniform_choice,success_prefix_choice,success_suffix_choice,success_explore_forced,success_uniform_forced,success_prefix_forced,success_suffix_forced
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,0,29.0,6.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,5,5,11,7,0,0,1,0,48,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-6046014611969325073,4.0,1.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,1,0,1,0,0,0,1,0,6,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-9078758710300016934,9.0,1.0,-1.8555748756042192,yes,"[0.0 100.0 162.5; 15.0 100.0 10.15625; 22.5 100.0 325.0; 30.0 100.0 325.0]","2 2 3 3 3 4",0.25,300,1,0,0,2,1,0,0,0,17,0,0,0,2,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,6026752103936063831,5.0,0.0,-11.220951438219288,yes,"[0.0 100.0 325.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,0,1,1,0,0,1,0,0,6,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7488286861000505729,2.0,0.0,-4.740537532593038,yes,"[0.0 50.0 284.375; 10.0 100.0 0.0; 25.0 75.0 0.0; 30.0 75.0 0.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,4096412075366339464,6.0,1.0,-0.8783142956569066,yes,"[0.0 75.0 0.0; 10.0 100.0 243.75; 20.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,2,0,1,0,0,0,0,0,8,0,0,0,3,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,7672111965323154545,15.0,2.0,-4.809704969700675,yes,"[0.0 50.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,4,4,3,0,0,1,0,0,22,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7183876693434789442,4.0,1.0,-0.5511690346261702,yes,"[0.0 100.0 0.0; 15.0 50.0 0.0; 30.0 50.0 0.0]","2 2 3 3 3 4",0.25,300,0,0,1,0,1,0,0,0,6,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-5011953456019000971,8.0,1.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,2,1,0,1,0,0,1,0,13,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,9035443895564923029,7.0,1.0,-8.065993679063752,yes,"[0.0 100.0 142.1875; 10.0 100.0 0.0; 25.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,0,2,1,0,0,0,0,0,10,0,0,0,3,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-2740929484600087517,10.0,1.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,1,1,1,4,0,0,1,0,14,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,4294016909393539959,11.0,2.0,-14.42303757125893,yes,"[0.0 100.0 162.5; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,3,0,3,1,1,0,0,0,15,1,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-6182145599744364137,7.0,1.0,-0.5511690346261702,yes,"[0.0 100.0 0.0; 15.0 50.0 0.0; 30.0 50.0 0.0]","2 2 3 3 3 4",0.25,300,0,0,3,1,1,0,0,0,13,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,8458830146556579542,7.0,1.0,-14.42303757125893,yes,"[0.0 100.0 162.5; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,1,1,0,0,1,0,0,0,13,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7841915111413246962,5.0,1.0,-0.18690699946651534,yes,"[0.0 100.0 81.25; 10.0 100.0 162.5; 25.0 100.0 325.0; 30.0 100.0 325.0]","2 2 3 3 3 4",0.25,300,0,0,0,1,0,0,0,0,8,0,0,0,3,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-4627331107828543336,8.0,1.0,-7.362017144361502,yes,"[0.0 100.0 0.0; 15.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,0,1,1,1,0,0,1,0,17,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-1380096314875151908,2.0,0.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
